[run number];number-of-nodes;initial-outbreak-size;number-of-wd;recovery-chance;[step];count turtles;clustering-coefficient;average-path-length;count turtles with [not spreaders? and not cencored?];count turtles with [spreaders?];count turtles with [cencored?];count turtles with [untouched?]
3;250;1;10;8;0;250;0.3680571428571429;6.327004016064257;239;1;10;239
3;250;1;10;8;1;250;0.3680571428571429;6.327004016064257;231;7;12;230
2;250;1;10;8;0;250;0.38119999999999993;6.377510040160643;239;1;10;239
3;250;1;10;8;2;250;0.3680571428571429;6.327004016064257;223;7;20;221
3;250;1;10;8;3;250;0.3680571428571429;6.327004016064257;184;36;30;177
2;250;1;10;8;1;250;0.38119999999999993;6.377510040160643;237;3;10;237
3;250;1;10;8;4;250;0.3680571428571429;6.327004016064257;156;47;47;148
2;250;1;10;8;2;250;0.38119999999999993;6.377510040160643;230;9;11;229
2;250;1;10;8;3;250;0.38119999999999993;6.377510040160643;222;16;12;219
2;250;1;10;8;4;250;0.38119999999999993;6.377510040160643;215;19;16;213
2;250;1;10;8;5;250;0.38119999999999993;6.377510040160643;173;44;33;169
2;250;1;10;8;6;250;0.38119999999999993;6.377510040160643;142;42;66;138
2;250;1;10;8;7;250;0.38119999999999993;6.377510040160643;108;65;77;95
2;250;1;10;8;8;250;0.38119999999999993;6.377510040160643;83;70;97;71
2;250;1;10;8;9;250;0.38119999999999993;6.377510040160643;68;62;120;57
2;250;1;10;8;10;250;0.38119999999999993;6.377510040160643;50;36;164;36
2;250;1;10;8;11;250;0.38119999999999993;6.377510040160643;40;28;182;26
2;250;1;10;8;12;250;0.38119999999999993;6.377510040160643;37;15;198;22
2;250;1;10;8;13;250;0.38119999999999993;6.377510040160643;32;10;208;19
2;250;1;10;8;14;250;0.38119999999999993;6.377510040160643;28;9;213;18
2;250;1;10;8;15;250;0.38119999999999993;6.377510040160643;28;5;217;17
2;250;1;10;8;16;250;0.38119999999999993;6.377510040160643;29;1;220;17
2;250;1;10;8;17;250;0.38119999999999993;6.377510040160643;28;0;222;17
3;250;1;10;8;5;250;0.3680571428571429;6.327004016064257;123;50;77;118
3;250;1;10;8;6;250;0.3680571428571429;6.327004016064257;100;45;105;89
3;250;1;10;8;7;250;0.3680571428571429;6.327004016064257;82;44;124;71
3;250;1;10;8;8;250;0.3680571428571429;6.327004016064257;76;27;147;66
3;250;1;10;8;9;250;0.3680571428571429;6.327004016064257;67;28;155;58
3;250;1;10;8;10;250;0.3680571428571429;6.327004016064257;65;19;166;54
3;250;1;10;8;11;250;0.3680571428571429;6.327004016064257;56;23;171;46
3;250;1;10;8;12;250;0.3680571428571429;6.327004016064257;52;18;180;42
3;250;1;10;8;13;250;0.3680571428571429;6.327004016064257;52;11;187;42
3;250;1;10;8;14;250;0.3680571428571429;6.327004016064257;52;11;187;42
3;250;1;10;8;15;250;0.3680571428571429;6.327004016064257;54;4;192;42
3;250;1;10;8;16;250;0.3680571428571429;6.327004016064257;53;0;197;42
1;250;1;10;8;0;250;0.3782666666666666;6.803020080321285;239;1;10;239
1;250;1;10;8;1;250;0.3782666666666666;6.803020080321285;239;1;10;238
1;250;1;10;8;2;250;0.3782666666666666;6.803020080321285;215;24;11;213
1;250;1;10;8;3;250;0.3782666666666666;6.803020080321285;181;39;30;175
1;250;1;10;8;4;250;0.3782666666666666;6.803020080321285;144;69;37;139
1;250;1;10;8;5;250;0.3782666666666666;6.803020080321285;125;65;60;118
1;250;1;10;8;6;250;0.3782666666666666;6.803020080321285;89;71;90;80
1;250;1;10;8;7;250;0.3782666666666666;6.803020080321285;79;64;107;66
1;250;1;10;8;8;250;0.3782666666666666;6.803020080321285;64;64;122;56
1;250;1;10;8;9;250;0.3782666666666666;6.803020080321285;66;46;138;49
1;250;1;10;8;10;250;0.3782666666666666;6.803020080321285;58;42;150;47
1;250;1;10;8;11;250;0.3782666666666666;6.803020080321285;58;26;166;45
1;250;1;10;8;12;250;0.3782666666666666;6.803020080321285;59;15;176;44
1;250;1;10;8;13;250;0.3782666666666666;6.803020080321285;53;14;183;42
1;250;1;10;8;14;250;0.3782666666666666;6.803020080321285;49;12;189;40
1;250;1;10;8;15;250;0.3782666666666666;6.803020080321285;46;12;192;35
1;250;1;10;8;16;250;0.3782666666666666;6.803020080321285;43;14;193;34
1;250;1;10;8;17;250;0.3782666666666666;6.803020080321285;42;6;202;33
1;250;1;10;8;18;250;0.3782666666666666;6.803020080321285;40;6;204;32
1;250;1;10;8;19;250;0.3782666666666666;6.803020080321285;39;5;206;30
1;250;1;10;8;20;250;0.3782666666666666;6.803020080321285;39;3;208;30
1;250;1;10;8;21;250;0.3782666666666666;6.803020080321285;40;2;208;30
1;250;1;10;8;22;250;0.3782666666666666;6.803020080321285;39;3;208;29
1;250;1;10;8;23;250;0.3782666666666666;6.803020080321285;40;2;208;29
1;250;1;10;8;24;250;0.3782666666666666;6.803020080321285;40;2;208;29
1;250;1;10;8;25;250;0.3782666666666666;6.803020080321285;39;2;209;29
1;250;1;10;8;26;250;0.3782666666666666;6.803020080321285;39;0;211;29
5;250;1;10;8;0;250;0.36053333333333304;6.770152610441767;239;1;10;239
5;250;1;10;8;1;250;0.36053333333333304;6.770152610441767;233;6;11;232
5;250;1;10;8;2;250;0.36053333333333304;6.770152610441767;226;12;12;226
5;250;1;10;8;3;250;0.36053333333333304;6.770152610441767;222;16;12;221
5;250;1;10;8;4;250;0.36053333333333304;6.770152610441767;204;26;20;203
5;250;1;10;8;5;250;0.36053333333333304;6.770152610441767;180;36;34;179
5;250;1;10;8;6;250;0.36053333333333304;6.770152610441767;148;40;62;141
5;250;1;10;8;7;250;0.36053333333333304;6.770152610441767;111;57;82;100
5;250;1;10;8;8;250;0.36053333333333304;6.770152610441767;91;56;103;78
5;250;1;10;8;9;250;0.36053333333333304;6.770152610441767;60;51;139;47
5;250;1;10;8;10;250;0.36053333333333304;6.770152610441767;57;32;161;40
5;250;1;10;8;11;250;0.36053333333333304;6.770152610441767;52;18;180;39
5;250;1;10;8;12;250;0.36053333333333304;6.770152610441767;50;12;188;39
5;250;1;10;8;13;250;0.36053333333333304;6.770152610441767;51;6;193;39
5;250;1;10;8;14;250;0.36053333333333304;6.770152610441767;51;6;193;39
5;250;1;10;8;15;250;0.36053333333333304;6.770152610441767;50;7;193;39
5;250;1;10;8;16;250;0.36053333333333304;6.770152610441767;50;3;197;39
5;250;1;10;8;17;250;0.36053333333333304;6.770152610441767;50;0;200;39
6;250;1;10;8;0;250;0.35879999999999995;6.076240963855422;239;1;10;239
6;250;1;10;8;1;250;0.35879999999999995;6.076240963855422;237;3;10;236
6;250;1;10;8;2;250;0.35879999999999995;6.076240963855422;197;26;27;192
6;250;1;10;8;3;250;0.35879999999999995;6.076240963855422;168;42;40;161
6;250;1;10;8;4;250;0.35879999999999995;6.076240963855422;132;55;63;121
6;250;1;10;8;5;250;0.35879999999999995;6.076240963855422;112;53;85;100
6;250;1;10;8;6;250;0.35879999999999995;6.076240963855422;80;49;121;66
6;250;1;10;8;7;250;0.35879999999999995;6.076240963855422;68;41;141;60
6;250;1;10;8;8;250;0.35879999999999995;6.076240963855422;61;28;161;53
6;250;1;10;8;9;250;0.35879999999999995;6.076240963855422;62;12;176;51
6;250;1;10;8;10;250;0.35879999999999995;6.076240963855422;60;8;182;50
6;250;1;10;8;11;250;0.35879999999999995;6.076240963855422;57;5;188;49
6;250;1;10;8;12;250;0.35879999999999995;6.076240963855422;57;0;193;49
4;250;1;10;8;0;250;0.34933333333333333;6.207646586345382;239;1;10;239
4;250;1;10;8;1;250;0.34933333333333333;6.207646586345382;230;10;10;229
4;250;1;10;8;2;250;0.34933333333333333;6.207646586345382;227;13;10;226
4;250;1;10;8;3;250;0.34933333333333333;6.207646586345382;215;25;10;211
4;250;1;10;8;4;250;0.34933333333333333;6.207646586345382;199;40;11;192
4;250;1;10;8;5;250;0.34933333333333333;6.207646586345382;162;69;19;155
4;250;1;10;8;6;250;0.34933333333333333;6.207646586345382;114;100;36;100
4;250;1;10;8;7;250;0.34933333333333333;6.207646586345382;109;79;62;88
